XLabelWavenumber,YLabelAbsorbance
648.556784,0.205873
652.284122,0.200129
656.011459,0.200205
659.738797,0.197611
663.466135,0.193948
667.193473,0.192936
670.920811,0.193975
674.648149,0.192113
678.375486,0.186802
682.102824,0.182382
685.830162,0.180539
689.557500,0.179204
693.284838,0.179066
697.012176,0.179338
700.739513,0.178436
704.466851,0.177265
708.194189,0.174760
711.921527,0.172099
715.648865,0.168473
719.376203,0.163018
723.103540,0.158488
726.830878,0.156114
730.558216,0.155603
734.285554,0.156211
738.012892,0.157400
741.740230,0.159720
745.467567,0.161168
749.194905,0.159832
752.922243,0.158271
756.649581,0.161260
760.376919,0.167308
764.104257,0.167497
767.831594,0.162202
771.558932,0.158800
775.286270,0.157094
779.013608,0.154753
782.740946,0.151645
786.468284,0.148868
790.195621,0.146407
793.922959,0.144532
797.650297,0.145351
801.377635,0.148634
805.104973,0.150317
808.832311,0.148930
812.559649,0.145910
816.286986,0.139985
820.014324,0.130922
823.741662,0.122266
827.469000,0.116563
831.196338,0.113999
834.923676,0.113447
838.651013,0.113641
842.378351,0.114476
846.105689,0.116138
849.833027,0.118090
853.560365,0.120057
857.287703,0.122555
861.015040,0.125906
864.742378,0.130386
868.469716,0.134644
872.197054,0.135663
875.924392,0.133689
879.651730,0.131548
883.379067,0.130212
887.106405,0.129509
890.833743,0.129141
894.561081,0.127848
898.288419,0.125431
902.015757,0.123332
905.743094,0.122423
909.470432,0.123069
913.197770,0.124659
916.925108,0.125729
920.652446,0.126611
924.379784,0.128930
928.107121,0.133396
931.834459,0.138651
935.561797,0.142646
939.289135,0.144735
943.016473,0.145737
946.743811,0.147365
950.471148,0.150774
954.198486,0.155556
957.925824,0.160342
961.653162,0.164417
965.380500,0.168441
969.107838,0.173544
972.835176,0.180090
976.562513,0.186727
980.289851,0.192140
984.017189,0.197376
987.744527,0.204260
991.471865,0.213657
995.199203,0.225468
998.926540,0.238673
1002.653878,0.251851
1006.381216,0.264271
1010.108554,0.274930
1013.835892,0.281530
1017.563230,0.286195
1021.290567,0.293243
1025.017905,0.300489
1028.745243,0.302967
1032.472581,0.299110
1036.199919,0.291395
1039.927257,0.284463
1043.654594,0.280589
1047.381932,0.279481
1051.109270,0.280480
1054.836608,0.282080
1058.563946,0.282410
1062.291284,0.280813
1066.018621,0.276726
1069.745959,0.270203
1073.473297,0.262467
1077.200635,0.253641
1080.927973,0.243231
1084.655311,0.231546
1088.382648,0.218522
1092.109986,0.204269
1095.837324,0.190580
1099.564662,0.179597
1103.292000,0.172640
1107.019338,0.170214
1110.746675,0.171014
1114.474013,0.172071
1118.201351,0.171048
1121.928689,0.167400
1125.656027,0.161523
1129.383365,0.155211
1133.110703,0.151584
1136.838040,0.151515
1140.565378,0.152440
1144.292716,0.152159
1148.020054,0.150522
1151.747392,0.147631
1155.474730,0.143712
1159.202067,0.139717
1162.929405,0.136386
1166.656743,0.133711
1170.384081,0.131367
1174.111419,0.129038
1177.838757,0.126548
1181.566094,0.123795
1185.293432,0.120890
1189.020770,0.118427
1192.748108,0.117098
1196.475446,0.117345
1200.202784,0.118939
1203.930121,0.121281
1207.657459,0.123591
1211.384797,0.125360
1215.112135,0.126452
1218.839473,0.127289
1222.566811,0.128863
1226.294148,0.131631
1230.021486,0.135287
1233.748824,0.139394
1237.476162,0.142577
1241.203500,0.143284
1244.930838,0.142214
1248.658175,0.141263
1252.385513,0.140830
1256.112851,0.140445
1259.840189,0.139773
1263.567527,0.138916
1267.294865,0.138136
1271.022202,0.137732
1274.749540,0.137385
1278.476878,0.137058
1282.204216,0.136851
1285.931554,0.136351
1289.658892,0.134491
1293.386230,0.131523
1297.113567,0.129007
1300.840905,0.127759
1304.568243,0.127124
1308.295581,0.126067
1312.022919,0.124808
1315.750257,0.124429
1319.477594,0.124644
1323.204932,0.124295
1326.932270,0.123982
1330.659608,0.124258
1334.386946,0.124290
1338.114284,0.125829
1341.841621,0.128018
1345.568959,0.129344
1349.296297,0.131722
1353.023635,0.135392
1356.750973,0.139158
1360.478311,0.143741
1364.205648,0.148231
1367.932986,0.149032
1371.660324,0.149062
1375.387662,0.149472
1379.115000,0.147485
1382.842338,0.144190
1386.569675,0.141642
1390.297013,0.138677
1394.024351,0.136866
1397.751689,0.136799
1401.479027,0.135349
1405.206365,0.133567
1408.933702,0.131345
1412.661040,0.127897
1416.388378,0.124641
1420.115716,0.122556
1423.843054,0.119432
1427.570392,0.116700
1431.297729,0.114653
1435.025067,0.114427
1438.752405,0.114148
1442.479743,0.111832
1446.207081,0.110409
1449.934419,0.108236
1453.661757,0.105263
1457.389094,0.103508
1461.116432,0.099199
1464.843770,0.094374
1468.571108,0.089432
1472.298446,0.086328
1476.025784,0.083649
1479.753121,0.080757
1483.480459,0.078788
1487.207797,0.079638
1490.935135,0.082534
1494.662473,0.083494
1498.389811,0.085257
1502.117148,0.084238
1505.844486,0.087623
1509.571824,0.095575
1513.299162,0.094989
1517.026500,0.095241
1520.753838,0.097237
1524.481175,0.097995
1528.208513,0.096718
1531.935851,0.095953
1535.663189,0.095047
1539.390527,0.098271
1543.117865,0.107724
1546.845202,0.108843
1550.572540,0.109660
1554.299878,0.110225
1558.027216,0.117718
1561.754554,0.122203
1565.481892,0.120977
1569.209229,0.125063
1572.936567,0.129783
1576.663905,0.136555
1580.391243,0.140420
1584.118581,0.141848
1587.845919,0.143479
1591.573256,0.144487
1595.300594,0.144237
1599.027932,0.142578
1602.755270,0.139176
1606.482608,0.135029
1610.209946,0.129503
1613.937284,0.124674
1617.664621,0.120838
1621.391959,0.117765
1625.119297,0.117450
1628.846635,0.117076
1632.573973,0.116845
1636.301311,0.122413
1640.028648,0.123406
1643.755986,0.122446
1647.483324,0.123027
1651.210662,0.124348
1654.938000,0.123370
1658.665338,0.117390
1662.392675,0.111454
1666.120013,0.105439
1669.847351,0.100817
1673.574689,0.097557
1677.302027,0.093616
1681.029365,0.090623
1684.756702,0.091841
1688.484040,0.092280
1692.211378,0.091189
1695.938716,0.092152
1699.666054,0.093953
1703.393392,0.090452
1707.120729,0.083198
1710.848067,0.075302
1714.575405,0.068801
1718.302743,0.063822
1722.030081,0.059758
1725.757419,0.056405
1729.484756,0.053269
1733.212094,0.051020
1736.939432,0.048310
1740.666770,0.045693
1744.394108,0.042791
1748.121446,0.041248
1751.848783,0.040313
1755.576121,0.039408
1759.303459,0.039504
1763.030797,0.040304
1766.758135,0.040032
1770.485473,0.040576
1774.212811,0.040963
1777.940148,0.040123
1781.667486,0.038994
1785.394824,0.037448
1789.122162,0.035417
1792.849500,0.033621
1796.576838,0.031929
1800.304175,0.030926
1804.031513,0.029754
1807.758851,0.028815
1811.486189,0.028678
1815.213527,0.028969
1818.940865,0.028735
1822.668202,0.028477
1826.395540,0.028363
1830.122878,0.028676
1833.850216,0.028686
1837.577554,0.028731
1841.304892,0.028525
1845.032229,0.028939
1848.759567,0.029326
1852.486905,0.029183
1856.214243,0.028984
1859.941581,0.029228
1863.668919,0.029153
1867.396256,0.029052
1871.123594,0.028708
1874.850932,0.028652
1878.578270,0.028932
1882.305608,0.028976
1886.032946,0.028607
1889.760283,0.028554
1893.487621,0.028153
1897.214959,0.028258
1900.942297,0.028336
1904.669635,0.028439
1908.396973,0.028268
1912.124310,0.028449
1915.851648,0.028185
1919.578986,0.027461
1923.306324,0.027352
1927.033662,0.027253
1930.761000,0.026455
1934.488338,0.026143
1938.215675,0.025315
1941.943013,0.024372
1945.670351,0.023847
1949.397689,0.024674
1953.125027,0.024014
1956.852365,0.022534
1960.579702,0.020540
1964.307040,0.020020
1968.034378,0.018064
1971.761716,0.015408
1975.489054,0.013664
1979.216392,0.017251
1982.943729,0.018622
1986.671067,0.019512
1990.398405,0.019936
1994.125743,0.019542
1997.853081,0.019181
2001.580419,0.019499
2005.307756,0.017971
2009.035094,0.016984
2012.762432,0.014971
2016.489770,0.013953
2020.217108,0.014226
2023.944446,0.015243
2027.671783,0.014890
2031.399121,0.014882
2035.126459,0.014757
2038.853797,0.016636
2042.581135,0.018464
2046.308473,0.020225
2050.035810,0.022003
2053.763148,0.023628
2057.490486,0.024742
2061.217824,0.025509
2064.945162,0.026191
2068.672500,0.027044
2072.399837,0.026787
2076.127175,0.027661
2079.854513,0.028948
2083.581851,0.029359
2087.309189,0.029603
2091.036527,0.029515
2094.763865,0.029063
2098.491202,0.029267
2102.218540,0.029474
2105.945878,0.030231
2109.673216,0.030062
2113.400554,0.030512
2117.127892,0.030820
2120.855229,0.030724
2124.582567,0.030652
2128.309905,0.029425
2132.037243,0.027310
2135.764581,0.026096
2139.491919,0.024600
2143.219256,0.023274
2146.946594,0.022878
2150.673932,0.021639
2154.401270,0.016236
2158.128608,0.013093
2161.855946,0.014855
2165.583283,0.017468
2169.310621,0.019355
2173.037959,0.019435
2176.765297,0.019199
2180.492635,0.019684
2184.219973,0.020285
2187.947310,0.022814
2191.674648,0.024876
2195.401986,0.024599
2199.129324,0.023805
2202.856662,0.024957
2206.584000,0.025796
2210.311337,0.026509
2214.038675,0.027193
2217.766013,0.028655
2221.493351,0.028510
2225.220689,0.028819
2228.948027,0.029896
2232.675364,0.030070
2236.402702,0.029178
2240.130040,0.030160
2243.857378,0.031590
2247.584716,0.032487
2251.312054,0.032571
2255.039392,0.032959
2258.766729,0.033614
2262.494067,0.033621
2266.221405,0.034154
2269.948743,0.035334
2273.676081,0.035644
2277.403419,0.036091
2281.130756,0.037256
2284.858094,0.038053
2288.585432,0.038122
2292.312770,0.038257
2296.040108,0.038691
2299.767446,0.039075
2303.494783,0.039479
2307.222121,0.039851
2310.949459,0.040157
2314.676797,0.040479
2318.404135,0.040836
2322.131473,0.041701
2325.858810,0.041602
2329.586148,0.041022
2333.313486,0.041074
2337.040824,0.041508
2340.768162,0.042189
2344.495500,0.042610
2348.222837,0.041824
2351.950175,0.040996
2355.677513,0.041184
2359.404851,0.041680
2363.132189,0.041777
2366.859527,0.041955
2370.586864,0.042238
2374.314202,0.042793
2378.041540,0.043052
2381.768878,0.043085
2385.496216,0.043114
2389.223554,0.043061
2392.950891,0.043140
2396.678229,0.043362
2400.405567,0.043336
2404.132905,0.043302
2407.860243,0.043532
2411.587581,0.043653
2415.314919,0.043473
2419.042256,0.043516
2422.769594,0.043591
2426.496932,0.043697
2430.224270,0.044100
2433.951608,0.044378
2437.678946,0.044445
2441.406283,0.044846
2445.133621,0.044895
2448.860959,0.044941
2452.588297,0.045453
2456.315635,0.045638
2460.042973,0.045587
2463.770310,0.045773
2467.497648,0.045957
2471.224986,0.046167
2474.952324,0.046401
2478.679662,0.046592
2482.407000,0.046587
2486.134337,0.046877
2489.861675,0.047281
2493.589013,0.047147
2497.316351,0.047054
2501.043689,0.047782
2504.771027,0.048094
2508.498364,0.047760
2512.225702,0.047757
2515.953040,0.048236
2519.680378,0.048571
2523.407716,0.048827
2527.135054,0.049089
2530.862391,0.049066
2534.589729,0.048915
2538.317067,0.049111
2542.044405,0.049767
2545.771743,0.050284
2549.499081,0.050370
2553.226418,0.050395
2556.953756,0.050534
2560.681094,0.050857
2564.408432,0.051141
2568.135770,0.051447
2571.863108,0.051533
2575.590446,0.051670
2579.317783,0.052132
2583.045121,0.052593
2586.772459,0.052814
2590.499797,0.053054
2594.227135,0.053481
2597.954473,0.053852
2601.681810,0.054157
2605.409148,0.054554
2609.136486,0.054958
2612.863824,0.055343
2616.591162,0.055698
2620.318500,0.055901
2624.045837,0.056014
2627.773175,0.056506
2631.500513,0.057272
2635.227851,0.057763
2638.955189,0.058133
2642.682527,0.058667
2646.409864,0.059013
2650.137202,0.059269
2653.864540,0.059550
2657.591878,0.059854
2661.319216,0.060213
2665.046554,0.060402
2668.773891,0.060447
2672.501229,0.060653
2676.228567,0.061066
2679.955905,0.061530
2683.683243,0.061906
2687.410581,0.062078
2691.137918,0.062151
2694.865256,0.062196
2698.592594,0.062342
2702.319932,0.062810
2706.047270,0.063207
2709.774608,0.063355
2713.501945,0.063471
2717.229283,0.063619
2720.956621,0.063819
2724.683959,0.064019
2728.411297,0.064280
2732.138635,0.064607
2735.865973,0.064721
2739.593310,0.064730
2743.320648,0.064855
2747.047986,0.065080
2750.775324,0.065459
2754.502662,0.065740
2758.230000,0.065901
2761.957337,0.066015
2765.684675,0.066009
2769.412013,0.066295
2773.139351,0.066705
2776.866689,0.067092
2780.594027,0.067492
2784.321364,0.067771
2788.048702,0.068215
2791.776040,0.068609
2795.503378,0.068782
2799.230716,0.069258
2802.958054,0.069905
2806.685391,0.070413
2810.412729,0.071035
2814.140067,0.071526
2817.867405,0.072014
2821.594743,0.072870
2825.322081,0.073621
2829.049418,0.074102
2832.776756,0.074696
2836.504094,0.075673
2840.231432,0.076690
2843.958770,0.077452
2847.686108,0.078407
2851.413445,0.079507
2855.140783,0.080326
2858.868121,0.081306
2862.595459,0.082480
2866.322797,0.083387
2870.050135,0.084146
2873.777472,0.084800
2877.504810,0.085102
2881.232148,0.085152
2884.959486,0.085126
2888.686824,0.085033
2892.414162,0.084789
2896.141500,0.084722
2899.868837,0.084968
2903.596175,0.085123
2907.323513,0.085150
2911.050851,0.085318
2914.778189,0.085766
2918.505527,0.086121
2922.232864,0.086264
2925.960202,0.086285
2929.687540,0.085881
2933.414878,0.085163
2937.142216,0.084158
2940.869554,0.083039
2944.596891,0.082252
2948.324229,0.081434
2952.051567,0.080518
2955.778905,0.079531
2959.506243,0.078634
2963.233581,0.077748
2966.960918,0.076902
2970.688256,0.076089
2974.415594,0.075035
2978.142932,0.074140
2981.870270,0.073787
2985.597608,0.073358
2989.324945,0.072901
2993.052283,0.072998
2996.779621,0.073354
3000.506959,0.073550
3004.234297,0.073592
3007.961635,0.073859
3011.688972,0.074615
3015.416310,0.075332
3019.143648,0.076059
3022.870986,0.076669
3026.598324,0.076938
3030.325662,0.077446
3034.052999,0.078609
3037.780337,0.079591
3041.507675,0.080120
3045.235013,0.080823
3048.962351,0.081510
3052.689689,0.082178
3056.417027,0.083120
3060.144364,0.083716
3063.871702,0.084133
3067.599040,0.084767
3071.326378,0.085410
3075.053716,0.086055
3078.781054,0.086767
3082.508391,0.087284
3086.235729,0.088028
3089.963067,0.088795
3093.690405,0.089081
3097.417743,0.089408
3101.145081,0.090461
3104.872418,0.091227
3108.599756,0.091386
3112.327094,0.091730
3116.054432,0.092533
3119.781770,0.093640
3123.509108,0.094504
3127.236445,0.094955
3130.963783,0.095355
3134.691121,0.095717
3138.418459,0.096233
3142.145797,0.096687
3145.873135,0.097143
3149.600472,0.097677
3153.327810,0.098655
3157.055148,0.099600
