XLabelWavenumber,YLabelAbsorbance
648.556784,0.202049
652.284122,0.198327
656.011459,0.197744
659.738797,0.200075
663.466135,0.199908
667.193473,0.198498
670.920811,0.200458
674.648149,0.198003
678.375486,0.192401
682.102824,0.188952
685.830162,0.187345
689.557500,0.185258
693.284838,0.185010
697.012176,0.186773
700.739513,0.187714
704.466851,0.188288
708.194189,0.190449
711.921527,0.191558
715.648865,0.190235
719.376203,0.186439
723.103540,0.179245
726.830878,0.171355
730.558216,0.165978
734.285554,0.162612
738.012892,0.160008
741.740230,0.158560
745.467567,0.156882
749.194905,0.154732
752.922243,0.153544
756.649581,0.155270
760.376919,0.158530
764.104257,0.158254
767.831594,0.154447
771.558932,0.150941
775.286270,0.148234
779.013608,0.146777
782.740946,0.145901
786.468284,0.144457
790.195621,0.143015
793.922959,0.142604
797.650297,0.144266
801.377635,0.148445
805.104973,0.153682
808.832311,0.157796
812.559649,0.157873
816.286986,0.150983
820.014324,0.138068
823.741662,0.124616
827.469000,0.116467
831.196338,0.114387
834.923676,0.115025
838.651013,0.116263
842.378351,0.117800
846.105689,0.119511
849.833027,0.121815
853.560365,0.125185
857.287703,0.129389
861.015040,0.135167
864.742378,0.141645
868.469716,0.145022
872.197054,0.143942
875.924392,0.140835
879.651730,0.138122
883.379067,0.136371
887.106405,0.135382
890.833743,0.135280
894.561081,0.135599
898.288419,0.134935
902.015757,0.133083
905.743094,0.131853
909.470432,0.132440
913.197770,0.134122
916.925108,0.135917
920.652446,0.138092
924.379784,0.141476
928.107121,0.145933
931.834459,0.150925
935.561797,0.156089
939.289135,0.160460
943.016473,0.163258
946.743811,0.165101
950.471148,0.167615
954.198486,0.171703
957.925824,0.176249
961.653162,0.179691
965.380500,0.182729
969.107838,0.187218
972.835176,0.193985
976.562513,0.202081
980.289851,0.209971
984.017189,0.217700
987.744527,0.225666
991.471865,0.233712
995.199203,0.241973
998.926540,0.250107
1002.653878,0.257272
1006.381216,0.262666
1010.108554,0.265452
1013.835892,0.266448
1017.563230,0.268343
1021.290567,0.270767
1025.017905,0.271398
1028.745243,0.268940
1032.472581,0.263059
1036.199919,0.255558
1039.927257,0.249678
1043.654594,0.246408
1047.381932,0.245299
1051.109270,0.245702
1054.836608,0.245448
1058.563946,0.242735
1062.291284,0.237791
1066.018621,0.231998
1069.745959,0.227013
1073.473297,0.223216
1077.200635,0.220201
1080.927973,0.217512
1084.655311,0.214694
1088.382648,0.211288
1092.109986,0.206655
1095.837324,0.200245
1099.564662,0.192594
1103.292000,0.185597
1107.019338,0.181062
1110.746675,0.179211
1114.474013,0.178398
1118.201351,0.175931
1121.928689,0.170758
1125.656027,0.165265
1129.383365,0.163112
1133.110703,0.166032
1136.838040,0.173233
1140.565378,0.181040
1144.292716,0.185802
1148.020054,0.187162
1151.747392,0.186661
1155.474730,0.185264
1159.202067,0.183000
1162.929405,0.179121
1166.656743,0.173285
1170.384081,0.166109
1174.111419,0.158332
1177.838757,0.150568
1181.566094,0.143470
1185.293432,0.137501
1189.020770,0.132911
1192.748108,0.129903
1196.475446,0.128512
1200.202784,0.127966
1203.930121,0.128006
1207.657459,0.128599
1211.384797,0.129379
1215.112135,0.129864
1218.839473,0.130374
1222.566811,0.131891
1226.294148,0.134559
1230.021486,0.137532
1233.748824,0.140332
1237.476162,0.142009
1241.203500,0.141605
1244.930838,0.139646
1248.658175,0.137636
1252.385513,0.136086
1256.112851,0.134808
1259.840189,0.133510
1263.567527,0.132100
1267.294865,0.130725
1271.022202,0.129463
1274.749540,0.127984
1278.476878,0.126636
1282.204216,0.125207
1285.931554,0.123214
1289.658892,0.120745
1293.386230,0.118591
1297.113567,0.117448
1300.840905,0.117283
1304.568243,0.117016
1308.295581,0.116177
1312.022919,0.115119
1315.750257,0.114335
1319.477594,0.113483
1323.204932,0.112184
1326.932270,0.111009
1330.659608,0.110387
1334.386946,0.110108
1338.114284,0.111928
1341.841621,0.114001
1345.568959,0.114748
1349.296297,0.116685
1353.023635,0.119911
1356.750973,0.122595
1360.478311,0.125953
1364.205648,0.129778
1367.932986,0.130171
1371.660324,0.130551
1375.387662,0.132269
1379.115000,0.129250
1382.842338,0.122659
1386.569675,0.117268
1390.297013,0.113099
1394.024351,0.110814
1397.751689,0.110467
1401.479027,0.108482
1405.206365,0.106712
1408.933702,0.106510
1412.661040,0.106610
1416.388378,0.107059
1420.115716,0.108060
1423.843054,0.106139
1427.570392,0.105728
1431.297729,0.106860
1435.025067,0.109942
1438.752405,0.112850
1442.479743,0.111874
1446.207081,0.111924
1449.934419,0.112335
1453.661757,0.112118
1457.389094,0.114639
1461.116432,0.111399
1464.843770,0.105731
1468.571108,0.094819
1472.298446,0.080072
1476.025784,0.070070
1479.753121,0.066832
1483.480459,0.064577
1487.207797,0.065011
1490.935135,0.067926
1494.662473,0.068936
1498.389811,0.071949
1502.117148,0.070882
1505.844486,0.074133
1509.571824,0.082850
1513.299162,0.081954
1517.026500,0.082124
1520.753838,0.085019
1524.481175,0.086737
1528.208513,0.085534
1531.935851,0.084263
1535.663189,0.082377
1539.390527,0.084061
1543.117865,0.090269
1546.845202,0.088006
1550.572540,0.085311
1554.299878,0.082392
1558.027216,0.087204
1561.754554,0.088863
1565.481892,0.085689
1569.209229,0.087056
1572.936567,0.088999
1576.663905,0.093486
1580.391243,0.096109
1584.118581,0.096948
1587.845919,0.099066
1591.573256,0.101248
1595.300594,0.103111
1599.027932,0.103994
1602.755270,0.104106
1606.482608,0.104231
1610.209946,0.103148
1613.937284,0.102260
1617.664621,0.103941
1621.391959,0.104640
1625.119297,0.107154
1628.846635,0.107882
1632.573973,0.107596
1636.301311,0.114294
1640.028648,0.114987
1643.755986,0.113254
1647.483324,0.113468
1651.210662,0.113983
1654.938000,0.113853
1658.665338,0.107886
1662.392675,0.102536
1666.120013,0.097362
1669.847351,0.093291
1673.574689,0.089873
1677.302027,0.085067
1681.029365,0.081827
1684.756702,0.084571
1688.484040,0.084187
1692.211378,0.081781
1695.938716,0.082785
1699.666054,0.087802
1703.393392,0.088329
1707.120729,0.086011
1710.848067,0.082100
1714.575405,0.079818
1718.302743,0.082876
1722.030081,0.083311
1725.757419,0.084568
1729.484756,0.089244
1733.212094,0.104707
1736.939432,0.123165
1740.666770,0.132599
1744.394108,0.133883
1748.121446,0.119776
1751.848783,0.091734
1755.576121,0.068527
1759.303459,0.050665
1763.030797,0.039412
1766.758135,0.034124
1770.485473,0.031517
1774.212811,0.029858
1777.940148,0.028881
1781.667486,0.027750
1785.394824,0.026428
1789.122162,0.025018
1792.849500,0.024036
1796.576838,0.022947
1800.304175,0.022434
1804.031513,0.021667
1807.758851,0.021063
1811.486189,0.020621
1815.213527,0.020548
1818.940865,0.020098
1822.668202,0.019724
1826.395540,0.019364
1830.122878,0.019966
1833.850216,0.019888
1837.577554,0.019328
1841.304892,0.018784
1845.032229,0.019252
1848.759567,0.019174
1852.486905,0.019125
1856.214243,0.019013
1859.941581,0.018871
1863.668919,0.018485
1867.396256,0.018546
1871.123594,0.018738
1874.850932,0.018635
1878.578270,0.018141
1882.305608,0.018024
1886.032946,0.017717
1889.760283,0.017764
1893.487621,0.017921
1897.214959,0.017750
1900.942297,0.017153
1904.669635,0.017588
1908.396973,0.017517
1912.124310,0.016918
1915.851648,0.016386
1919.578986,0.016628
1923.306324,0.016066
1927.033662,0.015621
1930.761000,0.015576
1934.488338,0.015419
1938.215675,0.014616
1941.943013,0.014280
1945.670351,0.012955
1949.397689,0.012388
1953.125027,0.011601
1956.852365,0.010766
1960.579702,0.009102
1964.307040,0.008703
1968.034378,0.007877
1971.761716,0.008192
1975.489054,0.006410
1979.216392,0.006374
1982.943729,0.006380
1986.671067,0.008376
1990.398405,0.009078
1994.125743,0.008619
1997.853081,0.008463
2001.580419,0.008558
2005.307756,0.006615
2009.035094,0.007130
2012.762432,0.006354
2016.489770,0.004624
2020.217108,0.004724
2023.944446,0.005647
2027.671783,0.004645
2031.399121,0.004846
2035.126459,0.005498
2038.853797,0.006786
2042.581135,0.007381
2046.308473,0.009541
2050.035810,0.011013
2053.763148,0.011008
2057.490486,0.011553
2061.217824,0.012826
2064.945162,0.013344
2068.672500,0.013406
2072.399837,0.013513
2076.127175,0.014331
2079.854513,0.014837
2083.581851,0.015273
2087.309189,0.015628
2091.036527,0.016350
2094.763865,0.015847
2098.491202,0.015038
2102.218540,0.015132
2105.945878,0.015948
2109.673216,0.015879
2113.400554,0.015860
2117.127892,0.015853
2120.855229,0.015765
2124.582567,0.014976
2128.309905,0.013739
2132.037243,0.012311
2135.764581,0.011990
2139.491919,0.011395
2143.219256,0.010161
2146.946594,0.008665
2150.673932,0.006606
2154.401270,0.003202
2158.128608,0.000673
2161.855946,0.000728
2165.583283,0.002817
2169.310621,0.004034
2173.037959,0.006132
2176.765297,0.006353
2180.492635,0.005608
2184.219973,0.005621
2187.947310,0.007511
2191.674648,0.009181
2195.401986,0.009419
2199.129324,0.009400
2202.856662,0.009668
2206.584000,0.009542
2210.311337,0.011018
2214.038675,0.011490
2217.766013,0.011206
2221.493351,0.011774
2225.220689,0.012198
2228.948027,0.012716
2232.675364,0.013545
2236.402702,0.013473
2240.130040,0.013639
2243.857378,0.014066
2247.584716,0.014508
2251.312054,0.015096
2255.039392,0.015893
2258.766729,0.015767
2262.494067,0.015729
2266.221405,0.016452
2269.948743,0.017492
2273.676081,0.017952
2277.403419,0.018317
2281.130756,0.018879
2284.858094,0.019583
2288.585432,0.020305
2292.312770,0.020463
2296.040108,0.020241
2299.767446,0.020566
2303.494783,0.020728
2307.222121,0.020880
2310.949459,0.020909
2314.676797,0.020887
2318.404135,0.021088
2322.131473,0.021299
2325.858810,0.021460
2329.586148,0.021462
2333.313486,0.021115
2337.040824,0.021033
2340.768162,0.021355
2344.495500,0.021738
2348.222837,0.021290
2351.950175,0.020549
2355.677513,0.020363
2359.404851,0.020685
2363.132189,0.020553
2366.859527,0.020775
2370.586864,0.021364
2374.314202,0.021890
2378.041540,0.022079
2381.768878,0.022134
2385.496216,0.022309
2389.223554,0.022227
2392.950891,0.021896
2396.678229,0.021964
2400.405567,0.022206
2404.132905,0.022419
2407.860243,0.022287
2411.587581,0.022169
2415.314919,0.022083
2419.042256,0.021928
2422.769594,0.022010
2426.496932,0.022308
2430.224270,0.022451
2433.951608,0.022462
2437.678946,0.022368
2441.406283,0.022618
2445.133621,0.022636
2448.860959,0.022449
2452.588297,0.022697
2456.315635,0.023054
2460.042973,0.023218
2463.770310,0.023356
2467.497648,0.023261
2471.224986,0.023457
2474.952324,0.023753
2478.679662,0.023770
2482.407000,0.023899
2486.134337,0.023819
2489.861675,0.023536
2493.589013,0.023801
2497.316351,0.024104
2501.043689,0.024201
2504.771027,0.024099
2508.498364,0.024160
2512.225702,0.024582
2515.953040,0.024875
2519.680378,0.025083
2523.407716,0.025230
2527.135054,0.025103
2530.862391,0.025257
2534.589729,0.025460
2538.317067,0.025440
2542.044405,0.025498
2545.771743,0.025610
2549.499081,0.025648
2553.226418,0.025843
2556.953756,0.026198
2560.681094,0.026485
2564.408432,0.026702
2568.135770,0.026945
2571.863108,0.027055
2575.590446,0.027094
2579.317783,0.027254
2583.045121,0.027592
2586.772459,0.027828
2590.499797,0.028142
2594.227135,0.028664
2597.954473,0.028713
2601.681810,0.028725
2605.409148,0.029053
2609.136486,0.029210
2612.863824,0.029596
2616.591162,0.030003
2620.318500,0.030258
2624.045837,0.030682
2627.773175,0.031095
2631.500513,0.031431
2635.227851,0.031650
2638.955189,0.031874
