XLabelWavenumber,YLabelAbsorbance
648.556784,0.199402
652.284122,0.198699
656.011459,0.200637
659.738797,0.203055
663.466135,0.200714
667.193473,0.199367
670.920811,0.200023
674.648149,0.197839
678.375486,0.193420
682.102824,0.190521
685.830162,0.190021
689.557500,0.187217
693.284838,0.184923
697.012176,0.187129
700.739513,0.189900
704.466851,0.191105
708.194189,0.192972
711.921527,0.194065
715.648865,0.191964
719.376203,0.188070
723.103540,0.181901
726.830878,0.173907
730.558216,0.167541
734.285554,0.163505
738.012892,0.160448
741.740230,0.159021
745.467567,0.157763
749.194905,0.155306
752.922243,0.153622
756.649581,0.155035
760.376919,0.158339
764.104257,0.158428
767.831594,0.154666
771.558932,0.150741
775.286270,0.147952
779.013608,0.146544
782.740946,0.145461
786.468284,0.143873
790.195621,0.142455
793.922959,0.142285
797.650297,0.144171
801.377635,0.148104
805.104973,0.153352
808.832311,0.157548
812.559649,0.157244
816.286986,0.150381
820.014324,0.137745
823.741662,0.124214
827.469000,0.115773
831.196338,0.113806
834.923676,0.115029
838.651013,0.116254
842.378351,0.117522
846.105689,0.119913
849.833027,0.122689
853.560365,0.125364
857.287703,0.129409
861.015040,0.135525
864.742378,0.141815
868.469716,0.145214
872.197054,0.144358
875.924392,0.141212
879.651730,0.138453
883.379067,0.136733
887.106405,0.135641
890.833743,0.135541
894.561081,0.136096
898.288419,0.135656
902.015757,0.133763
905.743094,0.132141
909.470432,0.132569
913.197770,0.134514
916.925108,0.136456
920.652446,0.138647
924.379784,0.142313
928.107121,0.146987
931.834459,0.151767
935.561797,0.156582
939.289135,0.160681
943.016473,0.163437
946.743811,0.165322
950.471148,0.167832
954.198486,0.171988
957.925824,0.176435
961.653162,0.179646
965.380500,0.182594
969.107838,0.187183
972.835176,0.193990
976.562513,0.201990
980.289851,0.210146
984.017189,0.218268
987.744527,0.226296
991.471865,0.234393
995.199203,0.242704
998.926540,0.250719
1002.653878,0.257861
1006.381216,0.263246
1010.108554,0.265886
1013.835892,0.266807
1017.563230,0.268732
1021.290567,0.271231
1025.017905,0.271683
1028.745243,0.268807
1032.472581,0.262630
1036.199919,0.254985
1039.927257,0.249227
1043.654594,0.246148
1047.381932,0.244888
1051.109270,0.245089
1054.836608,0.244891
1058.563946,0.242272
1062.291284,0.237387
1066.018621,0.231637
1069.745959,0.226571
1073.473297,0.222858
1077.200635,0.219975
1080.927973,0.217303
1084.655311,0.214797
1088.382648,0.211774
1092.109986,0.207333
1095.837324,0.201012
1099.564662,0.193312
1103.292000,0.186175
1107.019338,0.181509
1110.746675,0.179490
1114.474013,0.178439
1118.201351,0.175853
1121.928689,0.170706
1125.656027,0.165296
1129.383365,0.163404
1133.110703,0.166703
1136.838040,0.174316
1140.565378,0.182468
1144.292716,0.187478
1148.020054,0.189097
1151.747392,0.188754
1155.474730,0.187401
1159.202067,0.185104
1162.929405,0.181045
1166.656743,0.174967
1170.384081,0.167540
1174.111419,0.159478
1177.838757,0.151355
1181.566094,0.143877
1185.293432,0.137548
1189.020770,0.132807
1192.748108,0.129826
1196.475446,0.128323
1200.202784,0.127610
1203.930121,0.127508
1207.657459,0.128020
1211.384797,0.128793
1215.112135,0.129320
1218.839473,0.129953
1222.566811,0.131561
1226.294148,0.134346
1230.021486,0.137393
1233.748824,0.140084
1237.476162,0.141802
1241.203500,0.141390
1244.930838,0.139120
1248.658175,0.136769
1252.385513,0.135082
1256.112851,0.133782
1259.840189,0.132423
1263.567527,0.130932
1267.294865,0.129461
1271.022202,0.128115
1274.749540,0.126599
1278.476878,0.125351
1282.204216,0.123856
1285.931554,0.121710
1289.658892,0.119353
1293.386230,0.117373
1297.113567,0.116215
1300.840905,0.116109
1304.568243,0.116039
1308.295581,0.115285
1312.022919,0.114134
1315.750257,0.113276
1319.477594,0.112486
1323.204932,0.111079
1326.932270,0.109944
1330.659608,0.109561
1334.386946,0.109240
1338.114284,0.111028
1341.841621,0.113284
1345.568959,0.113991
1349.296297,0.115782
1353.023635,0.118907
1356.750973,0.121513
1360.478311,0.124851
1364.205648,0.128663
1367.932986,0.129023
1371.660324,0.129363
1375.387662,0.131164
1379.115000,0.128168
1382.842338,0.121395
1386.569675,0.115891
1390.297013,0.111651
1394.024351,0.109472
1397.751689,0.109280
1401.479027,0.107254
1405.206365,0.105579
1408.933702,0.105425
1412.661040,0.105701
1416.388378,0.106430
1420.115716,0.107413
1423.843054,0.105383
1427.570392,0.105053
1431.297729,0.106241
1435.025067,0.109447
1438.752405,0.112553
1442.479743,0.111617
1446.207081,0.111815
1449.934419,0.112358
1453.661757,0.112244
1457.389094,0.115392
1461.116432,0.112298
1464.843770,0.106271
1468.571108,0.094873
1472.298446,0.079659
1476.025784,0.069534
1479.753121,0.066028
1483.480459,0.063685
1487.207797,0.064219
1490.935135,0.066857
1494.662473,0.067900
1498.389811,0.071033
1502.117148,0.069955
1505.844486,0.073458
1509.571824,0.082049
1513.299162,0.080838
1517.026500,0.080889
1520.753838,0.083887
1524.481175,0.085580
1528.208513,0.084257
1531.935851,0.082975
1535.663189,0.081025
1539.390527,0.082878
1543.117865,0.089453
1546.845202,0.086822
1550.572540,0.083900
1554.299878,0.081044
1558.027216,0.085743
1561.754554,0.087186
1565.481892,0.084066
1569.209229,0.085408
1572.936567,0.087275
1576.663905,0.091817
1580.391243,0.094376
1584.118581,0.095113
1587.845919,0.096988
1591.573256,0.099144
1595.300594,0.101252
1599.027932,0.102169
1602.755270,0.102312
1606.482608,0.102366
1610.209946,0.101183
1613.937284,0.100293
1617.664621,0.102106
1621.391959,0.102890
1625.119297,0.105633
1628.846635,0.106487
1632.573973,0.106141
1636.301311,0.113015
1640.028648,0.113393
1643.755986,0.111013
1647.483324,0.111084
1651.210662,0.112602
1654.938000,0.113645
1658.665338,0.107240
1662.392675,0.101677
1666.120013,0.096558
1669.847351,0.092596
1673.574689,0.088996
1677.302027,0.083782
1681.029365,0.080407
1684.756702,0.083112
1688.484040,0.082826
1692.211378,0.080451
1695.938716,0.081542
1699.666054,0.086540
1703.393392,0.087000
1707.120729,0.085008
1710.848067,0.081468
1714.575405,0.079398
1718.302743,0.083013
1722.030081,0.083950
1725.757419,0.085653
1729.484756,0.090761
1733.212094,0.107353
1736.939432,0.127550
1740.666770,0.137558
1744.394108,0.138872
1748.121446,0.123920
1751.848783,0.094184
1755.576121,0.069718
1759.303459,0.051296
1763.030797,0.039572
1766.758135,0.033968
1770.485473,0.031838
1774.212811,0.030230
1777.940148,0.028547
1781.667486,0.027315
1785.394824,0.026213
1789.122162,0.024791
1792.849500,0.024231
1796.576838,0.023096
1800.304175,0.022506
1804.031513,0.021881
1807.758851,0.021464
1811.486189,0.021008
1815.213527,0.020665
1818.940865,0.019935
1822.668202,0.019493
1826.395540,0.019656
1830.122878,0.019961
1833.850216,0.019659
1837.577554,0.019588
1841.304892,0.018878
1845.032229,0.018913
1848.759567,0.019286
1852.486905,0.019137
1856.214243,0.018615
1859.941581,0.018737
1863.668919,0.018600
1867.396256,0.018572
1871.123594,0.018777
1874.850932,0.018547
1878.578270,0.018152
1882.305608,0.018242
1886.032946,0.018179
1889.760283,0.018131
1893.487621,0.017218
1897.214959,0.017337
1900.942297,0.017497
1904.669635,0.017007
1908.396973,0.016628
1912.124310,0.016949
1915.851648,0.016229
1919.578986,0.015889
