XLabelWavenumber,YLabelAbsorbance
648.556784,0.126612
652.284122,0.123551
656.011459,0.127513
659.738797,0.128386
663.466135,0.126093
667.193473,0.125854
670.920811,0.128735
674.648149,0.128041
678.375486,0.122434
682.102824,0.120986
685.830162,0.123615
689.557500,0.121258
693.284838,0.117958
697.012176,0.120001
700.739513,0.123034
704.466851,0.123551
708.194189,0.123727
711.921527,0.124554
715.648865,0.124052
719.376203,0.122291
723.103540,0.118794
726.830878,0.114247
730.558216,0.110475
734.285554,0.107204
738.012892,0.105433
741.740230,0.105114
745.467567,0.104292
749.194905,0.102625
752.922243,0.101775
756.649581,0.102909
760.376919,0.104059
764.104257,0.103802
767.831594,0.101466
771.558932,0.099064
775.286270,0.097545
779.013608,0.096406
782.740946,0.095368
786.468284,0.093846
790.195621,0.092650
793.922959,0.092697
797.650297,0.093701
801.377635,0.094676
805.104973,0.095694
808.832311,0.096946
812.559649,0.097414
816.286986,0.095209
820.014324,0.090173
823.741662,0.085209
827.469000,0.082835
831.196338,0.082759
834.923676,0.083312
838.651013,0.084267
842.378351,0.085389
846.105689,0.086052
849.833027,0.086911
853.560365,0.088493
857.287703,0.090282
861.015040,0.092218
864.742378,0.094224
868.469716,0.095532
872.197054,0.095377
875.924392,0.094243
879.651730,0.093347
883.379067,0.093130
887.106405,0.093211
890.833743,0.093728
894.561081,0.094728
898.288419,0.095033
902.015757,0.094466
905.743094,0.094467
909.470432,0.095592
913.197770,0.097038
916.925108,0.098367
920.652446,0.099927
924.379784,0.101763
928.107121,0.103471
931.834459,0.105026
935.561797,0.106849
939.289135,0.108618
943.016473,0.109844
946.743811,0.111200
950.471148,0.113429
954.198486,0.116485
957.925824,0.119524
961.653162,0.122152
965.380500,0.125035
969.107838,0.128536
972.835176,0.132685
976.562513,0.137362
980.289851,0.142157
984.017189,0.146640
987.744527,0.150465
991.471865,0.153774
995.199203,0.156806
998.926540,0.159518
1002.653878,0.161946
1006.381216,0.164133
1010.108554,0.165569
1013.835892,0.166072
1017.563230,0.166492
1021.290567,0.166657
1025.017905,0.165821
1028.745243,0.163859
1032.472581,0.160711
1036.199919,0.157361
1039.927257,0.154951
1043.654594,0.153127
1047.381932,0.151550
1051.109270,0.150322
1054.836608,0.148769
1058.563946,0.146261
1062.291284,0.143299
1066.018621,0.140953
1069.745959,0.139757
1073.473297,0.139190
1077.200635,0.138159
1080.927973,0.136245
1084.655311,0.133911
1088.382648,0.131448
1092.109986,0.128892
1095.837324,0.126168
1099.564662,0.123192
1103.292000,0.120230
1107.019338,0.117780
1110.746675,0.116322
1114.474013,0.115438
1118.201351,0.114086
1121.928689,0.111783
1125.656027,0.109393
1129.383365,0.108580
1133.110703,0.110332
1136.838040,0.114455
1140.565378,0.118925
1144.292716,0.121841
1148.020054,0.123275
1151.747392,0.123624
1155.474730,0.122946
1159.202067,0.121133
1162.929405,0.118096
1166.656743,0.114069
1170.384081,0.109457
1174.111419,0.104750
1177.838757,0.100382
1181.566094,0.096558
1185.293432,0.093535
1189.020770,0.091579
1192.748108,0.090606
1196.475446,0.090185
1200.202784,0.089887
1203.930121,0.089689
1207.657459,0.089722
1211.384797,0.089933
1215.112135,0.090283
1218.839473,0.090865
1222.566811,0.091923
1226.294148,0.093488
1230.021486,0.095067
1233.748824,0.096357
1237.476162,0.096986
1241.203500,0.096391
1244.930838,0.094878
1248.658175,0.093367
1252.385513,0.092207
1256.112851,0.091212
1259.840189,0.090380
1263.567527,0.089759
1267.294865,0.088980
1271.022202,0.088123
1274.749540,0.087537
1278.476878,0.087163
1282.204216,0.086536
1285.931554,0.085567
1289.658892,0.084516
1293.386230,0.083724
1297.113567,0.083417
1300.840905,0.083327
1304.568243,0.083218
1308.295581,0.082972
1312.022919,0.082568
1315.750257,0.082418
1319.477594,0.082232
1323.204932,0.081610
1326.932270,0.081323
1330.659608,0.081483
1334.386946,0.081639
1338.114284,0.082656
1341.841621,0.083547
1345.568959,0.083740
1349.296297,0.084780
1353.023635,0.086418
1356.750973,0.087410
1360.478311,0.088795
1364.205648,0.090617
1367.932986,0.090571
1371.660324,0.090499
1375.387662,0.091554
1379.115000,0.090032
1382.842338,0.086347
1386.569675,0.083606
1390.297013,0.081751
1394.024351,0.080900
1397.751689,0.080859
1401.479027,0.079735
1405.206365,0.078808
1408.933702,0.078778
1412.661040,0.078658
1416.388378,0.078929
1420.115716,0.079637
1423.843054,0.078519
1427.570392,0.078276
1431.297729,0.079161
1435.025067,0.081267
1438.752405,0.083141
